serial,ecm_name,software_part_number,flash_file,release_date,file_size,latest_available,service_file_id
SSP01229,VIMS Application,,6265676.FL2,2022-04-22T09:31:30.325Z,2601727.0,Y,28225357.0
SSP01229,XMSN-ECPC,,6473124.FL2,2024-09-11T13:52:18.787Z,1047809.0,Y,37743606.0
SSP01230,ADVISOR,,6599063.FL2,2025-07-24T13:42:39.680Z,1342457.0,Y,43699521.0
SSP01230,CHASSIS,,6567912.FL2,2024-09-11T14:30:12.814Z,790640.0,Y,37743617.0
SSP01230,CIODS-Radar Upgrade,,6259162.FL2,2022-03-30T14:17:46.597Z,17500301.0,Y,28097897.0
SSP01230,ENGINE,,6755257.FL2,2026-03-17T11:04:33.541Z,1594849.0,Y,46148152.0
SSP01230,IBC,,6473120.FL2,2024-09-11T13:46:04.033Z,921061.0,Y,37743594.0
SSP01230,Telematics Device,,6288087.FL2,2023-02-27T14:30:57.145Z,24330963.0,Y,30511128.0
SSP01230,Telematics Device,,6325704.CFG,2023-09-22T11:24:44.140Z,104210.0,Y,30566915.0
SSP01230,VIMS A4:N4 Main,,6265042.FL2,2022-03-29T08:44:59.023Z,3059773.0,Y,28091437.0
SSP01230,VIMS A4:N4 Main,,6113387.CFG,2021-04-01T09:01:11.713Z,403657.0,Y,25966934.0
SSP01230,VIMS Application,,6006377.CFG,2021-04-01T09:02:49.891Z,46807.0,Y,25038711.0
SSP01230,VIMS Application,,6265676.FL2,2022-04-22T09:31:30.325Z,2601727.0,Y,28225357.0
SSP01230,XMSN-ECPC,,6473124.FL2,2024-09-11T13:52:18.787Z,1047809.0,Y,37743606.0
SSP01231,ADVISOR,,6599063.FL2,2025-07-24T13:42:39.680Z,1342457.0,Y,43699521.0
SSP01231,CHASSIS,,6567912.FL2,2024-09-11T14:30:12.814Z,790640.0,Y,37743617.0
SSP01231,CIODS-Radar Upgrade,,6259162.FL2,2022-03-30T14:17:46.597Z,17500301.0,Y,28097897.0
SSP01231,ENGINE,,6755257.FL2,2026-03-17T11:04:33.541Z,1594849.0,Y,46148152.0
SSP01231,IBC,,6473120.FL2,2024-09-11T13:46:04.033Z,921061.0,Y,37743594.0
SSP01231,Telematics Device,,6288087.FL2,2023-02-27T14:30:57.145Z,24330963.0,Y,30511128.0
SSP01231,Telematics Device,,6325704.CFG,2023-09-22T11:24:44.140Z,104210.0,Y,30566915.0
SSP01231,VIMS A4:N4 Main,,6265042.FL2,2022-03-29T08:44:59.023Z,3059773.0,Y,28091437.0
